Date,Time,Irradiance
1/2/2025,2:24:20,584.4
1/2/2025,2:34:20,610.9
1/2/2025,2:44:20,134.0
1/2/2025,2:54:20,153.6
1/2/2025,3:04:20,800.9
1/2/2025,3:14:20,349.0
1/2/2025,3:24:20,893.2
1/2/2025,3:34:20,253.5
1/2/2025,3:44:20,855.2
1/2/2025,3:54:20,838.2
1/2/2025,4:04:20,632.8
1/2/2025,4:14:20,730.7
1/2/2025,4:24:20,237.4
1/2/2025,4:34:20,250.9
1/2/2025,4:44:20,332.5
1/2/2025,4:54:20,425.1
1/2/2025,5:04:20,993.2
1/2/2025,5:14:20,298.7
1/2/2025,5:24:20,429.7
1/2/2025,5:34:20,618.5
1/2/2025,5:44:20,376.5
1/2/2025,5:54:20,356.9
1/2/2025,6:04:20,544.4
1/2/2025,6:14:20,320.5
1/2/2025,6:24:20,419.0
1/2/2025,6:34:20,355.3
1/2/2025,6:44:20,275.8
1/2/2025,6:54:20,364.0
1/2/2025,7:04:20,434.9
1/2/2025,7:14:20,548.9
1/2/2025,7:24:20,407.1
1/2/2025,7:34:20,410.6
1/2/2025,7:44:20,782.6
1/2/2025,7:54:20,213.9
1/2/2025,8:04:20,189.8
1/2/2025,8:14:20,163.7
1/2/2025,8:24:20,369.4
1/2/2025,8:34:20,434.3
1/2/2025,8:44:20,317.6
1/2/2025,8:54:20,194.8
1/2/2025,9:04:20,148.5
1/2/2025,9:14:20,167.7
1/2/2025,9:24:20,186.5
1/2/2025,9:34:20,181.8
1/2/2025,9:44:20,173.8
1/2/2025,9:54:20,155.5
1/2/2025,10:04:20,119.1
1/2/2025,10:14:20,091.6
1/2/2025,10:24:20,058.8
1/2/2025,10:34:20,048.0
1/2/2025,10:44:20,027.7
1/2/2025,10:54:20,016.4
1/2/2025,11:04:20,005.9
1/2/2025,11:14:20,003.3
1/2/2025,11:24:20,000.1
1/2/2025,11:34:20,000.0
1/2/2025,11:44:20,000.0
1/2/2025,11:54:20,000.0
1/2/2025,12:04:20,000.0
1/2/2025,12:14:20,000.0
1/2/2025,12:24:20,000.0
1/2/2025,12:34:20,000.0
1/2/2025,12:44:20,000.0
1/2/2025,12:54:20,000.0
1/2/2025,13:04:20,000.0
1/2/2025,13:14:20,000.0
1/2/2025,13:24:20,000.0
1/2/2025,13:34:20,000.0
1/2/2025,13:44:20,000.0
1/2/2025,13:54:20,000.0
1/2/2025,14:04:20,000.0
1/2/2025,14:14:20,000.0
1/2/2025,14:24:20,000.0
1/2/2025,14:34:20,000.0
1/2/2025,14:44:20,000.0
1/2/2025,14:54:20,000.0
1/2/2025,15:04:20,000.0
1/2/2025,15:14:20,000.0
1/2/2025,15:24:20,000.0
1/2/2025,15:34:20,000.0
1/2/2025,15:44:20,000.0
1/2/2025,15:54:20,000.0
1/2/2025,16:04:20,000.0
1/2/2025,16:14:20,000.0
1/2/2025,16:24:20,000.0
1/2/2025,16:34:20,000.0
1/2/2025,16:44:20,000.0
