Date,Time,Irradiance
12/25/2024,20:44:20,000.1
12/25/2024,20:54:20,000.1
12/25/2024,21:04:20,000.1
12/25/2024,21:14:20,000.0
12/25/2024,21:24:20,000.1
12/25/2024,21:34:20,000.1
12/25/2024,21:44:20,000.1
12/25/2024,21:54:20,000.1
12/25/2024,22:04:20,000.1
12/25/2024,22:14:20,000.1
12/25/2024,22:24:20,000.1
12/25/2024,22:34:20,000.1
12/25/2024,22:44:20,000.2
12/25/2024,22:54:20,000.4
12/25/2024,23:04:20,001.7
12/25/2024,23:14:20,004.8
12/25/2024,23:24:20,016.1
12/25/2024,23:34:20,023.0
12/25/2024,23:44:20,027.0
12/25/2024,23:54:20,021.9
12/26/2024,0:04:20,032.2
12/26/2024,0:14:20,034.4
12/26/2024,0:24:20,045.7
12/26/2024,0:34:20,054.9
12/26/2024,0:44:20,037.9
12/26/2024,0:54:20,027.2
12/26/2024,1:04:20,016.4
12/26/2024,1:14:20,028.6
12/26/2024,1:24:20,052.9
12/26/2024,1:34:20,013.2
12/26/2024,1:44:20,070.8
12/26/2024,1:54:20,171.0
12/26/2024,2:04:20,186.0
12/26/2024,2:14:20,086.4
12/26/2024,2:24:20,069.0
12/26/2024,2:34:20,085.5
12/26/2024,2:44:20,117.3
12/26/2024,2:54:20,087.6
12/26/2024,3:04:20,117.9
12/26/2024,3:14:20,107.3
12/26/2024,3:24:20,119.6
12/26/2024,3:34:20,090.4
12/26/2024,3:44:20,105.0
12/26/2024,3:54:20,065.0
12/26/2024,4:04:20,060.7
12/26/2024,4:14:20,069.6
12/26/2024,4:24:20,054.4
12/26/2024,4:34:20,043.7
12/26/2024,4:44:20,049.8
12/26/2024,4:54:20,054.1
12/26/2024,5:04:20,033.7
12/26/2024,5:14:20,082.7
12/26/2024,5:24:20,078.1
12/26/2024,5:34:20,084.4
12/26/2024,5:44:20,089.0
12/26/2024,5:54:20,107.0
12/26/2024,6:04:20,113.1
12/26/2024,6:14:20,192.4
12/26/2024,6:24:20,150.5
12/26/2024,6:34:20,077.3
12/26/2024,6:44:20,102.4
12/26/2024,6:54:20,147.5
12/26/2024,7:04:20,115.3
12/26/2024,7:14:20,110.1
12/26/2024,7:24:20,091.6
12/26/2024,7:34:20,062.9
12/26/2024,7:44:20,064.9
12/26/2024,7:54:20,074.8
12/26/2024,8:04:20,065.8
12/26/2024,8:14:20,061.6
12/26/2024,8:24:20,061.8
12/26/2024,8:34:20,051.0
12/26/2024,8:44:20,030.1
12/26/2024,8:54:20,026.6
12/26/2024,9:04:20,023.9
12/26/2024,9:14:20,021.5
12/26/2024,9:24:20,019.5
12/26/2024,9:34:20,018.4
12/26/2024,9:44:20,016.1
12/26/2024,9:54:20,013.6
12/26/2024,10:04:20,012.3
12/26/2024,10:14:20,009.7
12/26/2024,10:24:20,007.8
12/26/2024,10:34:20,006.1
12/26/2024,10:44:20,003.7
12/26/2024,10:54:20,001.4
12/26/2024,11:04:20,000.3
12/26/2024,11:14:20,000.1
12/26/2024,11:24:20,000.0
12/26/2024,11:34:20,000.0
12/26/2024,11:44:20,000.0
12/26/2024,11:54:20,000.0
12/26/2024,12:04:20,000.0
12/26/2024,12:14:20,000.0
12/26/2024,12:24:20,000.0
12/26/2024,12:34:20,000.0
12/26/2024,12:44:20,000.0
12/26/2024,12:54:20,000.0
12/26/2024,13:04:20,000.0
12/26/2024,13:14:20,000.0
12/26/2024,13:24:20,000.0
12/26/2024,13:34:20,000.0
12/26/2024,13:44:20,000.0
12/26/2024,13:54:20,000.0
